x,y,z,label_semantikarto,number_of_returns,gps_time,edge_of_flight_line,synthetic,scanner_channel,return_number,scan_direction_flag,probability,withheld,intensity,classification,pc_ID,point_source_id,scan_angle,overlap,user_data,key_point,cluster_label
4.2263068502576395,-0.0718734002543038,2.1739938985830345,1,0,53815.43477370377,0,0,0,0,0,0.974937379360199,0,53287,9,1.0,0,0,0,0,0,0
4.218303650334432,-0.06987339979002642,2.1709937010603735,1,0,53815.43477370377,0,0,0,0,0,0.974937379360199,0,53090,9,1.0,0,0,0,0,0,0
4.2093086500353545,-0.07087340002216512,2.1609939007676924,1,0,53815.43477370377,0,0,0,0,0,0.974937379360199,0,53168,9,1.0,0,0,0,0,0,0
4.200305949842638,-0.07087340002216512,2.154993898975051,1,0,53815.434834738924,0,0,0,0,0,0.974937379360199,0,53744,9,1.0,0,0,0,0,0,0
4.19231035022542,-0.07087340002216512,2.1479938993111216,1,0,53815.434834738924,0,0,0,0,0,0.974937379360199,0,54255,9,1.0,0,0,0,0,0,0
4.183307650032703,-0.07487339956165222,2.14199379920531,1,0,53815.434834738924,0,0,0,0,0,0.9980637431144714,0,54479,9,1.0,0,0,0,0,0,0
4.177303249611767,-0.0758733997937909,2.1359938010538975,1,0,53815.434834738924,0,0,0,0,0,0.9980637431144714,0,54263,9,1.0,0,0,0,0,0,0
4.1713065504805575,-0.07987340002781183,2.125993600226079,1,0,53815.434834738924,0,0,0,0,0,0.9980637431144714,0,53951,9,1.0,0,0,0,0,0,0
4.165309850418623,-0.0808733995654167,2.1189936005621495,1,0,53815.434834738924,0,0,0,0,0,0.9934288859367371,0,53812,9,1.0,0,0,0,0,0,0
4.1583061498342,-0.08587340003157631,2.111993599077606,1,0,53815.434834738924,0,0,0,0,0,0.9934288859367371,0,53777,9,1.0,0,0,0,0,0,0
4.151309950433481,-0.08787339980131986,2.1029938002974413,1,0,53815.434834738924,0,0,0,0,0,0.9934288859367371,0,53540,9,1.0,0,0,0,0,0,0
4.147304550086201,-0.0928734002674795,2.095993800633512,1,0,53815.434834738924,0,0,0,0,0,0.9934288859367371,0,53119,9,1.0,0,0,0,0,0,0
4.144306149796046,-0.09787340003910527,2.088993901103367,1,0,53815.434834738924,0,0,0,0,0,0.9934288859367371,0,53251,9,1.0,0,0,0,0,0,0
4.138309449734111,-0.10287339981073107,2.0819938996188236,1,0,53815.434834738924,0,0,0,0,0,0.9934288859367371,0,53779,9,1.0,0,0,0,0,0,0
4.1323051498315495,-0.10587339981261332,2.070993700919717,1,0,53815.434834738924,0,0,0,0,0,0.6334185600280762,0,53667,9,1.0,0,0,0,0,0,0
4.128307350255622,-0.11087339958423911,2.0649936991270756,1,0,53815.434834738924,0,0,0,0,0,0.6334185600280762,0,51665,9,1.0,0,0,0,0,0,0
4.122302949834685,-0.11487339981826003,2.058993700975663,1,0,53815.434834738924,0,0,0,0,0,0.6334185600280762,0,43108,9,1.0,0,0,0,0,0,0
